Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Expected xG,Expected npxG,Expected xA,Expected npxG+xA,Per 90 Minutes xG,Per 90 Minutes xA,Per 90 Minutes xG+xA,Per 90 Minutes npxG,Per 90 Minutes npxG+xA
11,Francesco Acerbi\Francesco-Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,38,3420,38,0,0,0,0,0,4,0,0,0,0,0,0,1.5,1.5,0.8,2.4,0.04,0.02,0.06,0.04,0.06
12,Afriyie Acquah\Afriyie-Acquah,gh GHA,MF,Torino,it Serie A,25,1992,22,9,951,10.6,1,0,1,0,0,4,2,0.09,0,0.09,0.09,0.09,0.6,0.6,0.1,0.7,0.06,0.01,0.07,0.06,0.07
13,Charlie Adam\Charlie-Adam,sco SCO,MF,Stoke City,eng Premier League,31,1985,11,5,411,4.6,0,0,0,0,1,2,1,0,0,0,0,0,1.4,0.7,1.3,1.9,0.32,0.28,0.59,0.15,0.43
14,Antonio Adán\Antonio-Adan,es ESP,GK,Betis,es La Liga,30,1987,30,30,2700,30,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.4,0.4,0,0.01,0.01,0,0.01
15,Aday\Aday,es ESP,DFMF,Girona,es La Liga,29,1987,31,20,1840,20.4,2,0,1,1,2,10,0,0.1,0,0.1,0.05,0.05,2.6,1.1,1.8,2.9,0.13,0.09,0.21,0.05,0.14
16,Khaled Adénon\Khaled-Adenon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,34,32,2921,32.5,0,1,0,0,0,9,0,0,0.03,0.03,0,0.03,0.5,0.5,0.3,0.8,0.02,0.01,0.03,0.02,0.03
17,Claud Adjapong\Claud-Adjapong,it ITA,DFMF,Sassuolo,it Serie A,19,1998,16,14,1220,13.6,0,0,0,0,0,5,1,0,0,0,0,0,0.6,0.6,0.7,1.3,0.05,0.05,0.1,0.05,0.1
18,René Adler\Rene-Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,14,1260,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.03,0.03,0,0.03
19,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,DFMF,Udinese,it Serie A,23,1993,23,18,1674,18.6,0,1,0,0,0,4,0,0,0.05,0.05,0,0.05,0.4,0.4,1.7,2.1,0.02,0.09,0.12,0.02,0.12
20,Adrián\Adrian,es ESP,GK,West Ham,eng Premier League,30,1987,19,19,1710,19,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,33,21,2155,23.9,9,3,6,3,5,5,0,0.38,0.13,0.5,0.25,0.38,10.6,7.1,1.1,8.1,0.44,0.04,0.49,0.3,0.34
22,Ibrahim Afellay\Ibrahim-Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,6,1,166,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Benik Afobe\Benik-Afobe,cd COD,FWMF,Bournemouth,eng Premier League,24,1993,17,5,611,6.8,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.5,0.24,0.01,0.25,0.24,0.25
